species;individual;type;arena;start_hour;end_hour;reach_tie;avoidance;exit_way;fall_hour;exit_hour;reach_barrier;time_escape;time_fall
Tortoise_type1;6B;1;NA;14:34;14:49;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;1B;1;NA;10:30;10:45;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;4B;1;NA;10:47;11:02;no;no;unable;NA;NA;no;NA;NA
Tortoise_type1;6B;1;NA;11:05;11:20;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;1B;1;NA;11:21;11:36;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;4B;1;NA;13:15;13:30;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;6B;1;NA;13:32;13:47;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;2C;1;NA;09:59;10:14;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;3C;1;NA;10:16;10:31;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;6C;1;NA;10:32;10:47;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;2C;1;NA;10:49;11:04;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;3C;1;NA;11:07;11:22;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;5C;1;NA;11:24;11:39;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;1C;1;NA;10:00;10:15;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;4C;1;NA;10:16;10:32;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;5C;1;NA;10:33;10:47;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;1C;1;NA;10:49;11:04;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;4C;1;NA;11:07;11:22;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;6C;1;NA;11:24;11:39;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;2C;1;NA;11:41;11:56;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;4C;1;NA;11:57;12:12;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;5C;1;NA;12:17;12:32;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;1C;1;NA;11:41;11:56;yes;yes;unable;NA;NA;yes;NA;NA
Tortoise_type1;3C;1;NA;11:57;12:12;yes;yes;unable;NA;NA;no;NA;NA
Tortoise_type1;6C;1;NA;12:17;12:32;yes;yes;unable;NA;NA;yes;NA;NA
